text,Autism_Diagnosis
Making friends feels challenging sometimes. i really enjoy talking about my interests.,1
Strong smells sometimes make me nauseous. strong smells sometimes make me nauseous. i'm working on this.,0
I usually understand sarcasm. i adapt well to new situations.,1
I enjoy socializing with people. learn discuss case music save according figure.,0
I really enjoy talking about my interests... bright lights can be painful... i prefer sticking to my routines... chance note teacher...,1
Bright lights can be painful. i prefer quiet time alone. my colleague says this is normal.,1
I often struggle with eye contact. some clothing textures feel uncomfortable. i've noticed this for a while.,1
Group settings make me anxious. i've noticed this for a while.,1
I enjoy socializin' with people. my family member says this is normal.,0
I like trying new restaurants... concerts and parties are fun... it depends on my mood...,0
Some clothing textures feel uncomfortable. changes to my schedule upset me. i've noticed this for a while.,1
I'm okay with last-minute changes.,0
I like trying new restaurants. different textures don't bother me. i'm working on this.,1
Different textures don't bother me.,0
Loud noises bother me. group settings make me anxious. want animal girl wind contain simple.,1
Meeting new people excites me. eye contact feels natural. my colleague says this is normal.,0
I like knowing what to expect. some clothing textures feel uncomfortable. it depends on my mood.,1
Changes to my schedule upset me. i prefer quiet time alone. know husband war.,1
I don't always read facial expressions well. common his trade other still modern.,1
I usually understand sarcasm. my family member says this is normal.,0
Group settings make me anxious. i really enjoy talking about my interests.,1
Different textures don't bother me. i usually understand sarcasm. i've noticed this for a while.,0
I usually understand sarcasm. my friend says this is normal.,0
I prefer sticking to my routines.,0
Eye contact feels natural.,1
I sometimes don't get jokes right away. i prefer sticking to my routines. why nothing piece somebody talk source past.,1
Different textures don't bother me. it depends on my mood.,0
Strong smells sumtimes make me nauseous. changes to my schedule upset me. i've noticed this for a while.,0
Meeting new people excites me. i adapt well to new situations. my colleague says this is normal.,0
Meeting new people excites me. i've noticed this for a while.,0
I enjoy socializing with people. my friend says this is normal.,0
Strong smells sometimes make me nauseous. i prefer sticking to my routines. i'm working on this.,1
Strong smells sometimes make me nauseous. i don't always read facial expressions well. however finally citizen soldier class.,1
I'm flexible with my schedule. it depends on my mood.,0
I really enjoy talking about my interests. my colleague says this is normal.,1
I often struggle with eye contact. people say i'm very literal. changes to my schedule upset me.,1
Eye contact feels natural. it depends on my mood.,0
I often struggle with eye contact. i prefer sticking to my routines. i prefer quiet time alone. my colleague says this is normal.,1
I like trying new restaurants. i enjoy socializing with people.,0
Some clothing textures feel uncomfortable... making friends feels challenging sometimes... loud noises bother me... my friend says this is normal...,1
I adapt well to new situations. meeting new people excites me. story game speech former.,0
Concerts and parties are fun. i've noticed this for a while.,1
Making friends feels challenging sometimes. changes to my schedule upset me. i'm working on this.,1
Group settings make me anxious. i sumtimes miss social cues. group settings make me anxious. my family member says this is normal.,1
Meeting new people excites me. eye contact feels natural. ok dark relate final.,0
I usually understand sarcasm. meeting new people excites me. my family member says this is normal.,0
I usually understand sarcasm. my colleague says this is normal.,0
I usually understand sarcasm. i've noticed this for a while.,0
I'm okay with last-minute changes. different textures don't bother me. it depends on my mood.,0
Making friends feels challenging sometimes. it depends on my mood.,1
I enjoy socializing with people. concerts and parties are fun. enjoy toward stay cold.,0
Making friends feels challenging sometimes. i'm working on this.,1
I enjoy socializing with people. meeting new people excites me. customer number center without.,0
Loud noises bother me. word treat music bank news happy daughter.,1
I organize my things carefully. making friends feels challenging sometimes. i've noticed this for a while.,1
I usually understand sarcasm. i enjoy socializin' with people. it depends on my mood.,0
I really enjoy talking about my interests... i don't always read facial expressions well... both interesting decide bring author later age...,0
I'm okay with last-minute changes. i adapt well to new situations. my colleague says this is normal.,0
Different textures don't bother me. i usually understand sarcasm. i'm workin' on this.,1
People say i'm very literal. assume difference down strategy.,1
Eye contact feels natural. i'm flexible with my schedule.,1
I like trying new restaurants... it depends on my mood...,0
Loud noises bother me. i sumtimes miss social cues. my colleague says this is normal.,1
I like trying new restaurants. eye contact feels natural. i've noticed this for a while.,0
Concerts and parties are fun. i enjoy socializing with people. teach option public blue base economic.,0
Conversations can be confusing. group settings make me anxious. i'm working on this.,1
I'm okay with last-minute changes. different textures don't bother me. floor fight turn eye fast right they.,0
People say i'm very literal. it depends on my mood.,1
I'm okay with last-minute changes. my friend says this is normal.,0
I organize my things carefully. conversations can be confusing. i've noticed this for a while.,1
Meeting new people excites me. i'm working on this.,1
Changes to my schedule upset me. my friend says this is normal.,1
I sumtimes miss social cues. makin' friends feels challengin' sumtimes. my family member says this is normal.,1
Meeting new people excites me. i'm okay with last-minute changes. i've noticed this for a while.,1
I enjoy socializing with people. meeting new people excites me. social image red exactly.,0
I sometimes miss social cues. changes to my schedule upset me. i sometimes miss social cues. i'm working on this.,1
Loud noises bother me. loud noises bother me. i'm working on this.,1
I prefer quiet time alone.,1
Concerts and parties are fun. i like trying new restaurants. my friend says this is normal.,0
I usually understand sarcasm. concerts and parties are fun. i've noticed this for a while.,0
People say i'm very literal. i'm working on this.,1
I don't always read facial expressions well... my colleague says this is normal...,1
I eat similar foods regularly. i sometimes don't get jokes right away. my family member says this is normal.,1
Loud noises bother me.,1
I usually understand sarcasm. different textures don't bother me. it depends on my mood.,0
I really enjoy talking about my interests. my colleague says this is normal.,1
Strong smells sometimes make me nauseous. people say i'm very literal.,1
Meeting new people excites me. i enjoy socializing with people. light seven important wall ball.,0
Eye contact feels natural. meeting new people excites me. my colleague says this is normal.,0
Meeting new people excites me. different textures don't bother me. i've noticed this for a while.,0
I enjoy socializing with people. i've noticed this for a while.,0
I sometimes miss social cues. certain sounds really irritate me. i eat similar foods regularly. i'm working on this.,1
I'm okay with last-minute changes.,0
Certain sounds really irritate me. strong smells sometimes make me nauseous. my friend says this is normal.,1
I adapt well to new situations. my colleague says this is normal.,0
I don't always read facial expressions well. loud noises bother me. i often struggle with eye contact. my colleague says this is normal.,0
I'm okay with last-minute changes. i enjoy socializing with people.,0
I usually understand sarcasm. my colleague says this is normal.,0
Different textures don't bother me. i'm working on this.,0
I enjoy socializing with people. i enjoy socializing with people. it depends on my mood.,0
Some clothing textures feel uncomfortable. making friends feels challenging sometimes. it depends on my mood.,0
I sometimes miss social cues. i organize my things carefully. i don't always read facial expressions well. my family member says this is normal.,1
Different textures don't bother me. it depends on my mood.,1
I prefer sticking to my routines. my friend says this is normal.,1
Eye contact feels natural. process player benefit radio particularly together music.,0
I'm okay with last-minute changes. eye contact feels natural.,0
I enjoy socializing with people. meeting new people excites me. first republican possible now.,0
Eye contact feels natural. it depends on my mood.,0
I'm okay with last-minute changes. i've noticed this for a while.,0
Loud noises bother me. strong smells sometimes make me nauseous. i sometimes don't get jokes right away. it depends on my mood.,1
Different textures don't bother me. different textures don't bother me. it depends on my mood.,0
Eye contact feels natural. it depends on my mood.,0
I organize my things carefully. i've noticed this for a while.,0
I prefer quiet time alone. i eat similar foods regularly. i sometimes don't get jokes right away. i'm working on this.,1
I enjoy socializing with people. i like trying new restaurants. relationship issue energy take quickly long.,1
I organize my things carefully. bright lights can be painful. it depends on my mood.,1
Some clothing textures feel uncomfortable. group settings make me anxious. i'm working on this.,1
I usually understand sarcasm... i like trying new restaurants...,0
I organize my things carefully. i've noticed this for a while.,0
Different textures don't bother me. i'm flexible with my schedule.,1
Some clothing textures feel uncomfortable. i like knowing what to expect. it depends on my mood.,1
I'm flexible with my schedule. my family member says this is normal.,0
Different textures don't bother me. my family member says this is normal.,0
I enjoy socializing with people. i usually understand sarcasm. i've noticed this for a while.,0
I sometimes miss social cues.,1
I like trying new restaurants. eye contact feels natural. i'm working on this.,0
Group settings make me anxious. mr wind the general.,1
Different textures don't bother me. i've noticed this for a while.,0
I really enjoy talking about my interests.,0
I'm flexible with my schedule. i usually understand sarcasm.,0
I usually understand sarcasm.,1
Concerts and parties are fun. i'm flexible with my schedule. i'm working on this.,0
I'm okay with last-minute changes. meeting new people excites me. i've noticed this for a while.,1
Making friends feels challenging sometimes. i'm working on this.,1
Strong smells sometimes make me nauseous. some clothing textures feel uncomfortable. changes to my schedule upset me. my family member says this is normal.,0
Meeting new people excites me. it depends on my mood.,0
I like trying new restaurants. my colleague says this is normal.,0
Strong smells sometimes make me nauseous. i'm working on this.,1
People say i'm very literal. some clothing textures feel uncomfortable. i often struggle with eye contact. i'm working on this.,1
I like trying new restaurants. meeting new people excites me. i'm working on this.,0
Certain sounds really irritate me. group settings make me anxious. people say i'm very literal. i'm working on this.,1
I prefer sticking to my routines. many mission police discover set.,1
I'm okay with last-minute changes. i enjoy socializing with people. it depends on my mood.,1
I sometimes don't get jokes right away. i often struggle with eye contact. i eat similar foods regularly. man across whether fund boy.,0
Group settings make me anxious. i often struggle with eye contact. changes to my schedule upset me. i'm working on this.,1
I adapt well to new situations. i've noticed this for a while.,0
Different textures don't bother me. i like trying new restaurants. my colleague says this is normal.,0
I adapt well to new situations. recent no left design.,0
Bright lights can be painful. i prefer quiet time alone. any me nor almost staff they.,0
I'm flexible with my schedule. meeting new people excites me. song including miss south.,1
I usually understand sarcasm... i'm flexible with my schedule... i'm working on this...,0
I enjoy socializing with people. assume best itself.,0
Group settings make me anxious. join according opportunity simply.,1
People say i'm very literal... conversations can be confusing... my friend says this is normal...,1
Making friends feels challenging sometimes. i sometimes don't get jokes right away. certain sounds really irritate me. i'm working on this.,1
Different textures don't bother me. my friend says this is normal.,0
Different textures don't bother me. i'm working on this.,1
Making friends feels challenging sometimes... some clothing textures feel uncomfortable... child building value throw...,1
People say i'm very literal. i organize my thingz carefully. i really enjoy talkin' about my interests. it depends on my mood.,1
I organize my thingz carefully. i prefer quiet time alone. group settings make me anxious.,1
Some clothing textures feel uncomfortable. conversations can be confusing. changes to my schedule upset me. it depends on my mood.,1
People say i'm very literal. loud noises bother me. i'm workin' on this.,1
I like knowing what to expect... i prefer sticking to my routines... my family member says this is normal...,1
Eye contact feels natural...,0
I prefer quiet time alone. i prefer quiet time alone. investment size place air position mother rise.,0
I organize my things carefully. certain sounds really irritate me. authority movie industry thank under fly.,1
Conversations can be confusing. strong smells sometimes make me nauseous.,1
I often struggle with eye contact. it depends on my mood.,1
Different textures don't bother me. i've noticed this for a while.,0
Different textures don't bother me. it depends on my mood.,0
Bright lights can be painful. i sometimes don't get jokes right away. strong smells sometimes make me nauseous. it depends on my mood.,1
I organize my things carefully. i eat similar foods regularly. i've noticed this for a while.,1
Strong smells sometimes make me nauseous. making friends feels challenging sometimes. i'm working on this.,1
Meeting new people excites me. my friend says this is normal.,0
Different textures don't bother me. eye contact feels natural. i'm workin' on this.,1
I adapt well to new situations. begin some increase health.,0
I don't always read facial expressions well. it depends on my mood.,1
I usually understand sarcasm.,0
I sometimes don't get jokes right away. bright lights can be painful. i like knowing what to expect.,1
I like knowing what to expect. people say i'm very literal. making friends feels challenging sometimes. my family member says this is normal.,1
I'm flexible with my schedule. it depends on my mood.,1
I sometimes don't get jokes right away. conversations can be confusing. some clothing textures feel uncomfortable.,1
I enjoy socializin' with people. i'm workin' on this.,0
I like trying new restaurants. meeting new people excites me. it depends on my mood.,1
I prefer sticking to my routines. i really enjoy talking about my interests. loud noises bother me. my family member says this is normal.,1
I'm flexible with my schedule. meeting new people excites me. i've noticed this for a while.,0
Group settings make me anxious. i prefer sticking to my routines. i often struggle with eye contact. i've noticed this for a while.,1
I sometimes miss social cues. i've noticed this for a while.,0
Bright lights can be painful. my friend says this is normal.,1
I adapt well to new situations. i'm working on this.,0
I'm okay with last-minute changes.,0
Concerts and parties are fun. i'm flexible with my schedule.,0
I'm okay with last-minute changes. i enjoy socializing with people.,1
I enjoy socializing with people. i'm working on this.,1
Making friends feels challenging sometimes. some clothing textures feel uncomfortable. i like knowing what to expect.,1
Bright lights can be painful.,1
Eye contact feels natural. it depends on my mood.,1
I eat similar foods regularly.,1
Concerts and parties are fun... i've noticed this for a while...,0
I like trying new restaurants. concerts and parties are fun. it depends on my mood.,0
I adapt well to new situations. i usually understand sarcasm. i've noticed this for a while.,0
I sometimes miss social cues. i prefer quiet time alone. standard benefit husband charge suffer.,0
I'm okay with last-minute changes. prepare finally suffer child girl commercial law skin.,0
Meeting new people excites me. i usually understand sarcasm. positive report these may he say.,0
Strong smells sometimes make me nauseous. tax leg news skill economic player.,1
I often struggle with eye contact. i prefer sticking to my routines. i eat similar foods regularly. i'm working on this.,0
Concerts and parties are fun. eye contact feels natural. it depends on my mood.,1
I adapt well to new situations. plan image grow size success society city.,1
I like trying new restaurants. happy safe student include.,0
I don't always read facial expressions well. my family member says this is normal.,0
Meeting new people excites me. meeting new people excites me. it depends on my mood.,0
Bright lights can be painful. i organize my things carefully. certain sounds really irritate me. public decide front agreement nearly.,1
Eye contact feels natural. i'm working on this.,1
I'm okay with last-minute changes. i enjoy socializing with people. i've noticed this for a while.,1
Group settings make me anxious. group settings make me anxious. my colleague says this is normal.,1
Meetin' new people excites me. my colleague says this is normal.,0
I adapt well to new situations. meeting new people excites me. it depends on my mood.,0
People say i'm very literal. my friend says this is normal.,0
I prefer quiet time alone. conversations can be confusing. i'm working on this.,1
Making friends feels challenging sometimes. i often struggle with eye contact. i sometimes don't get jokes right away. i've noticed this for a while.,1
Strong smells sometimes make me nauseous. i'm working on this.,1
Different textures don't bother me.,0
People say i'm very literal. i sometimes don't get jokes right away. it depends on my mood.,0
I'm flexible with my schedule... i like trying new restaurants... it depends on my mood...,0
Eye contact feels natural. it depends on my mood.,0
I'm okay with last-minute changes. i like trying new restaurants. commercial local join season wall nation.,1
I adapt well to new situations. i adapt well to new situations. i'm working on this.,0
Concerts and parties are fun. i've noticed this for a while.,0
Different textures don't bother me. i enjoy socializing with people. i've noticed this for a while.,0
I organize my things carefully... certain sounds really irritate me... i often struggle with eye contact... my colleague says this is normal...,1
Different textures don't bother me. i adapt well to new situations. it depends on my mood.,0
Bright lights can be painful. i'm working on this.,1
Meetin' new people excites me. concerts and parties are fun. i've noticed this for a while.,1
Meeting new people excites me. i'm okay with last-minute changes. i'm working on this.,0
Eye contact feels natural. i like trying new restaurants. i've noticed this for a while.,0
I enjoy socializing with people. different textures don't bother me. i'm working on this.,0
I prefer quiet time alone... certain sounds really irritate me... certain sounds really irritate me... i've noticed this for a while...,1
I usually understand sarcasm. i'm working on this.,0
Loud noises bother me... i like knowing what to expect... my friend says this is normal...,1
Bright lights can be painful. i organize my things carefully. strong smells sometimes make me nauseous. my family member says this is normal.,0
I prefer quiet time alone. i don't always read facial expressions well. loud noises bother me. i'm working on this.,1
I usually understand sarcasm. different textures don't bother me. it depends on my mood.,0
I usually understand sarcasm. rather feel hold health.,0
Meeting new people excites me. different textures don't bother me.,1
Some clothing textures feel uncomfortable. changes to my schedule upset me. then on minute authority.,1
I sometimes miss social cues... my friend says this is normal...,1
I usually understand sarcasm. i adapt well to new situations. it depends on my mood.,0
I adapt well to new situations. i adapt well to new situations. my friend says this is normal.,0
Concerts and parties are fun. i'm okay with last-minute changes. accept exactly form able mission.,0
I don't always read facial expressions well. my friend says this is normal.,1
Meeting new people excites me. i've noticed this for a while.,1
I enjoy socializing with people. else goal between easy.,0
Different textures don't bother me. it depends on my mood.,1
Eye contact feels natural. i'm okay with last-minute changes. too anyone offer government international.,0
Concerts and parties are fun. i like trying new restaurants. i've noticed this for a while.,0
I sometimes miss social cues. i really enjoy talking about my interests. i often struggle with eye contact.,1
I really enjoy talking about my interests. my family member says this is normal.,1
Eye contact feels natural. my family member says this is normal.,0
I enjoy socializing with people. i usually understand sarcasm. it depends on my mood.,0
I prefer sticking to my routines. certain sounds really irritate me. i eat similar foods regularly. most life game deal economy.,1
Eye contact feels natural. i like tryin' new restaurants. my family member says this is normal.,0
Loud noises bother me. i eat similar foods regularly. i'm workin' on this.,0
Meeting new people excites me. it depends on my mood.,0
I like trying new restaurants.,0
Meeting new people excites me. i'm working on this.,1
Concerts and parties are fun. concerts and parties are fun. i've noticed this for a while.,1
Meeting new people excites me.,0
Bright lights can be painful. i've noticed this for a while.,0
I sometimes miss social cues... conversations can be confusing... i've noticed this for a while...,1
Eye contact feels natural. meeting new people excites me.,1
Concerts and parties are fun. i'm okay with last-minute changes. it depends on my mood.,0
I like trying new restaurants. i enjoy socializing with people. free politics democratic history.,1
Bright lights can be painful. i'm working on this.,1
Meeting new people excites me. it depends on my mood.,0
I like knowing what to expect. my family member says this is normal.,1
I prefer sticking to my routines.,1
I usually understand sarcasm. i usually understand sarcasm.,1
Concerts and parties are fun. different textures don't bother me. it depends on my mood.,0
Conversations can be confusing. i organize my things carefully. i prefer quiet time alone. i'm working on this.,1
Eye contact feels natural.,0
Some clothing textures feel uncomfortable. it depends on my mood.,1
I like tryin' new restaurants. number clear month commercial focus represent store.,0
I organize my things carefully.,1
Group settings make me anxious. i often struggle with eye contact. i'm working on this.,1
Eye contact feels natural. it depends on my mood.,0
Meetin' new people excites me... meetin' new people excites me...,0
I'm flexible with my schedule. firm fire garden yes pretty.,0
I like trying new restaurants. concerts and parties are fun. i've noticed this for a while.,0
I often struggle with eye contact. loud noises bother me. i prefer quiet time alone. i'm working on this.,1
Eye contact feels natural. i'm working on this.,1
I'm okay with last-minute changes. it depends on my mood.,0
Concerts and parties are fun. meeting new people excites me. my friend says this is normal.,0
Eye contact feels natural. i'm okay with last-minute changes.,0
I usually understand sarcasm. it depends on my mood.,0
I like knowing what to expect.,1
Making friends feels challenging sometimes... i prefer sticking to my routines... i often struggle with eye contact... i've noticed this for a while...,0
I usually understand sarcasm. concerts and parties are fun. my family member says this is normal.,0
Eye contact feels natural. i've noticed this for a while.,0
Concerts and parties are fun. i like trying new restaurants. i've noticed this for a while.,0
I sometimes miss social cues. run book hard network special.,1
I'm okay with last-minute changes.,0
I prefer sticking to my routines... my family member says this is normal...,1
I usually understand sarcasm. i usually understand sarcasm. i've noticed this for a while.,0
I'm flexible with my schedule... i'm workin' on this...,0
I eat similar foods regularly. i eat similar foods regularly. certain sounds really irritate me. bank current free want when.,0
Meeting new people excites me. opportunity foreign become president.,0
I often struggle with eye contact. certain sounds really irritate me. i prefer quiet time alone. i've noticed this for a while.,1
Certain sounds really irritate me. i'm working on this.,1
I don't always read facial expressions well. i like knowing what to expect. i like knowing what to expect. it depends on my mood.,1
I prefer quiet time alone. i prefer quiet time alone. it depends on my mood.,1
Different textures don't bother me... different textures don't bother me... my family member says this is normal...,0
People say i'm very literal. it depends on my mood.,0
I prefer sticking to my routines. i don't always read facial expressions well. it depends on my mood.,1
Different textures don't bother me. eye contact feels natural. it depends on my mood.,0
Meeting new people excites me. i'm flexible with my schedule.,0
Certain sounds really irritate me. i sometimes don't get jokes right away. i'm working on this.,0
I adapt well to new situations... i adapt well to new situations...,1
Conversations can be confusing. expect travel heavy base coach mean.,1
I adapt well to new situations. i'm flexible with my schedule. it depends on my mood.,0
Eye contact feels natural.,0
I like knowing what to expect. it depends on my mood.,1
I adapt well to new situations... it depends on my mood...,0
Bright lights can be painful. some clothing textures feel uncomfortable. changes to my schedule upset me.,0
I sometimes miss social cues.,0
Meeting new people excites me. i usually understand sarcasm. i've noticed this for a while.,0
I'm okay with last-minute changes. my friend says this is normal.,1
I like knowing what to expect... i don't always read facial expressions well...,1
I enjoy socializing with people. town half listen team expert including.,0
I prefer quiet time alone. we rate beautiful beat section choose.,1
People say i'm very literal. i prefer sticking to my routines. success drug song star leg land.,1
I adapt well to new situations. it depends on my mood.,1
Bright lights can be painful. i'm working on this.,1
I prefer sticking to my routines. i don't always read facial expressions well. i organize my things carefully. it depends on my mood.,1
I don't always read facial expressions well. i don't always read facial expressions well. my friend says this is normal.,1
I'm okay with last-minute changes. my friend says this is normal.,0
Changes to my schedule upset me. i organize my things carefully.,1
I usually understand sarcasm. i'm workin' on this.,1
I adapt well to new situations. meeting new people excites me. it depends on my mood.,0
I'm okay with last-minute changes. i'm flexible with my schedule. i'm working on this.,0
I like trying new restaurants. i'm working on this.,1
Different textures don't bother me. my colleague says this is normal.,0
Making friends feels challenging sometimes. conversations can be confusing. i often struggle with eye contact. i've noticed this for a while.,1
Certain sounds really irritate me. my colleague says this is normal.,1
People say i'm very literal. i prefer sticking to my routines. group settings make me anxious. my colleague says this is normal.,1
I enjoy socializing with people. i enjoy socializing with people. section debate theory news cultural guy consumer.,0
I eat similar foods regularly... loud noises bother me... i prefer quiet time alone...,0
I enjoy socializing with people. i like trying new restaurants. i'm working on this.,1
Different textures don't bother me. meeting new people excites me.,0
Concerts and parties are fun. it depends on my mood.,1
I prefer quiet time alone. changes to my schedule upset me. i prefer quiet time alone. it depends on my mood.,1
Eye contact feels natural. i'm working on this.,0
I eat similar foods regularly. i don't always read facial expressions well. changes to my schedule upset me.,1
I usually understand sarcasm. different textures don't bother me. hot these here ground material.,0
I prefer sticking to my routines. it depends on my mood.,1
I often struggle with eye contact. some clothing textures feel uncomfortable. half ready international crime bad describe.,1
I'm flexible with my schedule. i'm okay with last-minute changes. class write environmental bit.,1
Concerts and parties are fun. dream song expect even summer she.,0
I'm okay with last-minute changes. i'm working on this.,0
I sometimes miss social cues. conversations can be confusing. i prefer sticking to my routines. i'm working on this.,1
I prefer quiet time alone. i prefer stickin' to my routines. people say i'm very literal.,1
Concerts and parties are fun.,0
Meeting new people excites me. i usually understand sarcasm. mother be tend everything.,0
People say i'm very literal. bright lights can be painful. i sometimes don't get jokes right away. i've noticed this for a while.,1
Meetin' new people excites me. my friend says this is normal.,1
I'm flexible with my schedule. different textures don't bother me. i've noticed this for a while.,1
Meeting new people excites me. i'm working on this.,0
Changes to my schedule upset me. it depends on my mood.,1
Strong smells sometimes make me nauseous. changes to my schedule upset me. i like knowing what to expect. i've noticed this for a while.,0
I don't always read facial expressions well. i like knowing what to expect. making friends feels challenging sometimes. it depends on my mood.,1
Concerts and parties are fun. i like trying new restaurants.,1
I'm okay with last-minute changes. i'm working on this.,0
I sometimes don't get jokes right away. i don't always read facial expressions well. i've noticed this for a while.,1
Changes to my schedule upset me. i eat similar foods regularly. i'm working on this.,1
I sometimes miss social cues. i don't always read facial expressions well. i sometimes miss social cues. i'm working on this.,1
Different textures don't bother me. i enjoy socializing with people. it depends on my mood.,0
I often struggle with eye contact. conversations can be confusing. bright lights can be painful.,1
People say i'm very literal. strong smells sometimes make me nauseous. i've noticed this for a while.,1
I sometimes don't get jokes right away. i prefer quiet time alone.,1
I really enjoy talking about my interests. group settings make me anxious. i'm working on this.,1
Some clothing textures feel uncomfortable. i sometimes miss social cues. i like knowing what to expect. i've noticed this for a while.,1
I enjoy socializing with people. i'm flexible with my schedule. it depends on my mood.,1
I'm okay with last-minute changes. first few partner identify.,1
I enjoy socializing with people. my family member says this is normal.,0
Eye contact feels natural. i'm workin' on this.,0
I prefer sticking to my routines. group settings make me anxious. strong smells sometimes make me nauseous. my friend says this is normal.,1
I organize my things carefully. making friends feels challenging sometimes. i really enjoy talking about my interests. it depends on my mood.,0
Strong smells sometimes make me nauseous. i sometimes don't get jokes right away. i like knowing what to expect.,1
I'm okay with last-minute changes. my colleague says this is normal.,0
Eye contact feels natural. i'm okay with last-minute changes. my family member says this is normal.,1
Group settings make me anxious. i often struggle with eye contact. my colleague says this is normal.,1
Different textures don't bother me. my family member says this is normal.,0
I like knowing what to expect. i like knowing what to expect. i prefer quiet time alone. i've noticed this for a while.,1
I prefer sticking to my routines. i prefer quiet time alone.,1
I enjoy socializing with people. my family member says this is normal.,0
I'm okay with last-minute changes... eye contact feels natural... it depends on my mood...,0
I sometimes don't get jokes right away. i prefer quiet time alone. certain sounds really irritate me. i've noticed this for a while.,1
Loud noises bother me. i really enjoy talking about my interests. i'm working on this.,1
Certain sounds really irritate me... loud noises bother me...,0
Making friends feels challenging sometimes. i sometimes don't get jokes right away. changes to my schedule upset me.,0
I really enjoy talking about my interests. it depends on my mood.,1
Concerts and parties are fun. eye contact feels natural. it depends on my mood.,0
Meeting new people excites me. i usually understand sarcasm. i've noticed this for a while.,0
Meetin' new people excites me. i'm workin' on this.,0
I prefer quiet time alone.,1
I like trying new restaurants. it depends on my mood.,0
Concerts and parties are fun.,0
I don't always read facial expressions well. i eat similar foods regularly. i've noticed this for a while.,1
Eye contact feels natural. i like trying new restaurants.,1
I eat similar foods regularly. some clothing textures feel uncomfortable. bright lights can be painful. it depends on my mood.,1
I organize my things carefully. my family member says this is normal.,1
Different textures don't bother me. my family member says this is normal.,1
I sumtimes miss social cues...,1
I enjoy socializing with people... eye contact feels natural... i've noticed this for a while...,0
I like trying new restaurants.,0
I enjoy socializin' with people. my family member says this is normal.,0
Bright lights can be painful. some clothing textures feel uncomfortable. strong smells sometimes make me nauseous. it depends on my mood.,0
Concerts and parties are fun. i adapt well to new situations.,0
I prefer sticking to my routines. group settings make me anxious. it depends on my mood.,1
I really enjoy talkin' about my interests. loud noises bother me. i don't always read facial expressions well. theory attack sure similar.,1
Bright lights can be painful. i've noticed this for a while.,1
People say i'm very literal. i prefer sticking to my routines. i don't always read facial expressions well. my family member says this is normal.,1
I'm okay with last-minute changes. catch sea race explain age meet energy population.,0
I enjoy socializin' with people. i like tryin' new restaurants.,0
I sometimes miss social cues. conversations can be confusing.,1
Changes to my schedule upset me. certain sounds really irritate me. i sometimes don't get jokes right away. it depends on my mood.,1
I adapt well to new situations... concerts and parties are fun... i've noticed this for a while...,1
I usually understand sarcasm. meeting new people excites me. imagine population story choose peace onto detail.,0
I sometimes miss social cues. strong smells sometimes make me nauseous.,1
Making friends feels challenging sometimes. i prefer quiet time alone. ball share assume challenge view real executive.,1
Meeting new people excites me. i've noticed this for a while.,0
I organize my thingz carefully. i've noticed this for a while.,1
Concerts and parties are fun. concerts and parties are fun. i'm working on this.,0
I prefer sticking to my routines. i often struggle with eye contact. i prefer sticking to my routines. it depends on my mood.,1
Strong smells sometimes make me nauseous. strong smells sometimes make me nauseous.,1
Concerts and parties are fun. meetin' new people excites me. i'm workin' on this.,0
I enjoy socializing with people. concerts and parties are fun. i've noticed this for a while.,0
Concerts and parties are fun. i like trying new restaurants.,0
I usually understand sarcasm. i'm working on this.,0
I usually understand sarcasm. it depends on my mood.,0
I usually understand sarcasm. meeting new people excites me. it depends on my mood.,0
I like trying new restaurants. different textures don't bother me. it depends on my mood.,0
Loud noises bother me. i sumtimes don't get jokes right away. i'm workin' on this.,0
I'm flexible with my schedule. i'm flexible with my schedule. i've noticed this for a while.,1
I prefer quiet time alone. making friends feels challenging sometimes. changes to my schedule upset me.,0
Bright lights can be painful. program can politics collection college.,0
Some clothing textures feel uncomfortable. it depends on my mood.,1
I adapt well to new situations.,0
Group settings make me anxious. making friends feels challenging sometimes. it depends on my mood.,1
I don't always read facial expressions well. i've noticed this for a while.,1
Conversations can be confusing. i don't always read facial expressions well. i've noticed this for a while.,1
Eye contact feels natural. staff read policy pm discover organization.,0
People say i'm very literal. making friends feels challenging sometimes. i've noticed this for a while.,1
Certain sounds really irritate me. above energy all state small end.,1
Meeting new people excites me. i usually understand sarcasm.,0
I adapt well to new situations. i'm okay with last-minute changes. i'm working on this.,1
I don't always read facial expressions well... i organize my things carefully... it depends on my mood...,1
I like trying new restaurants. meeting new people excites me.,0
Conversations can be confusing. conversations can be confusing. some clothing textures feel uncomfortable. i'm working on this.,1
I often struggle with eye contact. i really enjoy talking about my interests. i prefer sticking to my routines. my colleague says this is normal.,1
Making friends feels challenging sometimes. people say i'm very literal. i'm working on this.,1
Conversations can be confusing. conversations can be confusing. my friend says this is normal.,1
I'm flexible with my schedule. my colleague says this is normal.,0
Meeting new people excites me. i'm okay with last-minute changes. i'm working on this.,0
Concerts and parties are fun. i've noticed this for a while.,0
I prefer sticking to my routines. i've noticed this for a while.,1
I adapt well to new situations. it depends on my mood.,0
I usually understand sarcasm. i enjoy socializing with people. my friend says this is normal.,0
Meeting new people excites me. i'm flexible with my schedule. realize mind admit somebody.,0
Eye contact feels natural. rule far his different put.,0
I'm okay with last-minute changes.,1
People say i'm very literal. making friends feels challenging sometimes. making friends feels challenging sometimes. i've noticed this for a while.,0
